,x,X,n_trials,a_rew,a_pun,K,theta,omega_f,omega_p,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Accuracy
10,"[0, 3, 1, 3, 2, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 1, 1, 1, 2, 1, 2, 0, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 0, 3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3]","[1.0, 0.5, 1.0, 0.4, 0.5, 0.6000000000000001, 0.8, -0.1, 0.55, 1.2, -0.7000000000000001, 0.05, 1.1, 1.2, 0.9, 0.9, 1.0, 0.9, 1.2, 0.45, -11.4, 0.0, -1.9, 0.45, 0.45, 0.45, 0.55, 0.1, -0.1, 0.6000000000000001, 0.4, 0.55, 0.5, -1.9, 0.55, 0.30000000000000004, 1.0, -0.1, 0.45, 0.45, 0.55, 0.4, 0.25, -0.15, 0.4, 0.7000000000000001, -0.1, 0.6000000000000001, 0.6000000000000001, -1.2, 0.4, 0.45, 0.4, 0.55, 0.55, 0.30000000000000004, 0.65, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.7000000000000001, 0.30000000000000004, 0.5, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, 0.5, 1.2, -2.05, -0.05, -1.4, 0.1, -2.6, 0.45, 0.8, 0.35000000000000003, 0.4, 0.5, 0.45, -0.15, 0.6000000000000001, 0.55, 0.0, 0.15, 0.5, 0.6000000000000001, 0.4, 0.45, 0.55, 0.5, -0.1, 0.55, 0.6000000000000001, 0.65]",100,0.1366365832,0.5320438585,2.4097975835,1.9974442638,1.2952836854,-1.5958540095,0,3,1,3,2,2,1,2,2,0,0,2,1,1,0,1,1,1,1,2,1,2,0,3,2,3,3,2,2,3,3,3,3,3,2,2,0,2,2,2,3,2,2,2,3,2,2,2,3,0,3,3,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,0,3,2,0,2,0,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,64.0
11,"[1, 0, 2, 1, 3, 0, 3, 1, 2, 3, 0, 1, 3, 2, 1, 0, 2, 1, 0, 1, 0, 2, 1, 0, 3, 1, 0, 2, 2, 0, 3, 0, 3, 2, 2, 2, 3, 2, 0, 3, 2, 0, 0, 2, 3, 2, 0, 2, 0, 0, 2, 2, 3, 3, 3, 0, 2, 2, 2, 2, 3, 2, 0, 2, 3, 0, 2, 0, 2, 0, 3, 0, 3, 2, 2, 3, 3, 0, 3, 0, 2, 2, 2, 3, 2, 3, 2, 0, 2, 0, 3, 0, 3, 0, 0, 2, 0, 3, 0, 0]","[1.0, 1.0, 0.5, 0.8, 0.5, 1.2, 0.4, 1.1, 0.6000000000000001, 0.45, -0.7000000000000001, 1.2, 0.45, -0.1, 0.9, 0.9, 0.55, 1.0, -1.9, 0.9, 1.0, 0.05, 1.2, -1.2, 0.55, -11.4, 1.2, 0.45, 0.0, -1.4, 0.6000000000000001, -2.6, 0.4, 0.45, 0.1, -0.1, 0.55, 0.55, 1.1, 0.5, 0.30000000000000004, -2.2, 0.9, -0.1, -1.9, 0.45, -1.5, 0.45, -0.8, 1.1, 0.4, 0.25, 0.55, 0.4, 0.6000000000000001, -2.1, -0.15, 0.7000000000000001, -0.1, 0.6000000000000001, 0.4, 0.4, -0.2, 0.55, 0.45, -1.3, 0.30000000000000004, 1.0, 0.15, -1.3, 0.55, -1.6, 0.65, 0.1, 0.55, 0.7000000000000001, 0.5, 1.1, -2.05, -2.4, 0.4, -0.35000000000000003, 0.30000000000000004, 0.6000000000000001, 0.4, 0.55, 0.75, 1.0, 0.30000000000000004, -0.8, 0.65, -1.2, 0.8, -0.4, -1.1, 0.35000000000000003, 1.2, 0.4, -2.2, -0.8]",100,0.8505389487,0.4628733504,1.9538092251,1.3631575448,-1.1059752859,-0.4216383395,1,0,2,1,3,0,3,1,2,3,0,1,3,2,1,0,2,1,0,1,0,2,1,0,3,1,0,2,2,0,3,0,3,2,2,2,3,2,0,3,2,0,0,2,3,2,0,2,0,0,2,2,3,3,3,0,2,2,2,2,3,2,0,2,3,0,2,0,2,0,3,0,3,2,2,3,3,0,3,0,2,2,2,3,2,3,2,0,2,0,3,0,3,0,0,2,0,3,0,0,47.0
12,"[1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2]","[1.0, 0.8, 0.5, 0.6000000000000001, -0.1, 1.1, 1.2, 0.9, 1.0, 0.9, 1.2, -11.4, 0.55, 0.05, 0.45, 0.0, 0.5, 0.4, 0.45, 0.45, 0.55, 0.6000000000000001, 0.4, 0.55, 0.5, -1.9, 0.45, 0.1, -0.1, 1.0, 1.2, -0.7000000000000001, 0.55, 0.30000000000000004, -0.1, 0.9, -1.9, 0.45, 0.45, 0.4, 0.25, -0.15, 1.0, -1.2, 0.7000000000000001, -0.1, 1.2, -1.4, 0.6000000000000001, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.55, 0.4, 0.6000000000000001, 0.4, 0.45, 0.55, 0.65, 0.7000000000000001, 0.5, -2.05, 0.30000000000000004, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, -2.6, 0.5, -0.05, 0.6000000000000001, 0.55, 0.65, 0.8, 0.4, 0.8, 0.4, 0.65, -2.45, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.5, 0.45, -0.15, 1.1, -2.2, 0.55, 0.0, 0.15]",100,0.8613586125,0.7961754964000001,1.8383606163000001,1.8172707176,1.4434158371999999,-1.9569279024,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,2,2,2,0,0,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,2,2,2,95.0
13,"[3, 3, 1, 2, 0, 3, 1, 3, 2, 1, 2, 3, 0, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 2, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 3, 0, 0]","[0.5, 0.4, 1.0, 0.5, 1.0, 0.45, 0.8, 0.45, 0.6000000000000001, 1.1, -0.1, 0.55, 1.2, 1.2, 0.9, 1.0, 0.6000000000000001, 0.9, 1.2, -11.4, -0.7000000000000001, 0.9, -1.9, 0.55, 0.4, 0.05, 0.55, 0.5, 0.45, -1.9, 0.0, 0.55, 0.45, 0.1, -0.1, 0.55, 0.4, 0.30000000000000004, -0.1, 0.45, 0.45, 0.4, 0.6000000000000001, 0.25, -0.15, 0.4, 0.7000000000000001, -0.1, 0.6000000000000001, 0.4, 0.55, 0.45, 0.55, 0.30000000000000004, 0.15, 0.65, 0.1, 0.55, 0.7000000000000001, 0.5, 0.4, -0.35000000000000003, 0.30000000000000004, -2.05, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, 0.5, -0.05, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.6000000000000001, 0.5, 0.45, -0.15, 0.55, 0.0, 0.15, 0.5, 0.6000000000000001, 0.4, 0.45, 0.55, 0.55, 0.5, -0.1, 0.6000000000000001, 0.05, 0.2, 1.0, 0.65, -1.2, 1.2]",100,0.11221001,0.5539188888000001,2.0861845568,4.0133615276,-0.8183475782,-0.1675779865,3,3,1,2,0,3,1,3,2,1,2,3,0,1,1,1,3,1,1,1,0,0,0,2,3,2,3,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0,3,0,0,68.0
14,"[0, 1, 0, 2, 0, 1, 3, 1, 0, 0, 1, 2, 1, 0, 3, 2, 1, 2, 3, 1, 3, 1, 2, 1, 3, 2, 0, 2, 3, 2, 2, 0, 3, 0, 3, 0, 2, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2, 0, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 3, 2, 3, 0, 2, 3, 2, 3, 2, 3, 2, 3, 2, 0, 3, 2, 2, 3, 2, 3, 2, 2]","[1.0, 1.0, 1.2, 0.5, -0.7000000000000001, 0.8, 0.5, 1.1, 0.9, -1.9, 1.2, 0.6000000000000001, 0.9, 1.0, 0.4, -0.1, 1.0, 0.55, 0.45, 0.9, 0.45, 1.2, 0.05, -11.4, 0.55, 0.45, -1.2, 0.0, 0.6000000000000001, 0.45, 0.1, 1.2, 0.4, -1.4, 0.55, -2.6, -0.1, 0.5, 0.55, 0.30000000000000004, -1.9, 0.55, 0.4, -0.1, 0.45, 0.45, 0.6000000000000001, 0.4, 0.25, 0.4, 0.45, -0.15, 0.55, 0.7000000000000001, 0.65, -0.1, 0.6000000000000001, 0.7000000000000001, 0.4, 0.55, 0.5, 0.30000000000000004, -2.05, 0.15, 1.1, 0.6000000000000001, 0.1, 0.55, 0.55, 0.65, 0.4, -0.35000000000000003, 0.8, 0.30000000000000004, 0.4, 0.4, 0.75, 0.8, 0.4, 0.30000000000000004, 0.65, -2.2, 0.35000000000000003, -2.45, 0.45, 0.6000000000000001, 0.65, 0.65, -0.2, 0.75, 0.5, 0.9, 0.6000000000000001, -0.05, 0.1, 0.65, 0.45, -2.5, 0.8, 0.35000000000000003]",100,0.1932918073,0.2365707001,3.653247134,4.381374343,-0.8844655326,-1.5234438879,0,1,0,2,0,1,3,1,0,0,1,2,1,0,3,2,1,2,3,1,3,1,2,1,3,2,0,2,3,2,2,0,3,0,3,0,2,3,2,2,3,3,3,2,2,2,3,2,2,3,3,2,3,2,3,2,2,3,2,2,3,2,3,2,0,3,2,3,2,3,2,2,3,2,2,3,2,3,3,2,3,0,2,3,2,3,2,3,2,3,2,0,3,2,2,3,2,3,2,2,67.0
15,"[1, 2, 0, 2, 2, 0, 0, 2, 0, 0, 3, 1, 0, 2, 1, 2, 1, 0, 0, 3, 1, 0, 2, 0, 2, 1, 2, 1, 2, 3, 0, 0, 2, 3, 1, 3, 1, 2, 2, 3, 1, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 3, 1, 2, 0, 2, 2, 1, 1, 2, 3, 1, 3, 0, 3, 2, 1, 2, 3, 0, 2, 3, 2, 0, 2, 2, 1, 2, 3, 1, 1, 0, 0, 3, 0, 0, 0, 0, 3, 1, 3, 2, 3, 2, 2, 3, 3, 2, 1]","[1.0, 0.5, 1.0, 0.6000000000000001, -0.1, 1.2, -0.7000000000000001, 0.55, 0.9, -1.9, 0.5, 0.8, 1.0, 0.05, 1.1, 0.45, 1.2, -1.2, 1.2, 0.4, 0.9, -1.4, 0.0, -2.6, 0.45, 1.0, 0.1, 0.9, -0.1, 0.45, 1.1, -2.2, 0.55, 0.45, 1.2, 0.55, -11.4, 0.30000000000000004, -0.1, 0.6000000000000001, 0.8, 0.9, 1.1, 1.0, 0.9, 0.45, -13.7, 1.2, 0.45, 0.4, 1.3, 0.25, 0.4, 1.1, -0.15, -1.5, 0.7000000000000001, -0.1, 0.9, 1.0, 0.6000000000000001, 0.55, 1.2, 0.5, -0.8, -1.9, 0.4, -16.3, 0.55, 0.55, 1.1, 0.30000000000000004, 0.4, 0.15, -2.1, 0.1, 0.55, 1.1, 0.4, 0.6000000000000001, 1.4, 1.3, -0.2, -1.3, 0.4, 1.0, -1.3, -1.6, 1.1, 0.45, 1.0, 0.55, -0.35000000000000003, 0.65, 0.30000000000000004, 0.4, 0.7000000000000001, 0.5, 0.75, 1.1]",100,0.15600060100000002,0.1928167158,2.3243967064,0.2984680129,-0.3254615933,-0.8866191362,1,2,0,2,2,0,0,2,0,0,3,1,0,2,1,2,1,0,0,3,1,0,2,0,2,1,2,1,2,3,0,0,2,3,1,3,1,2,2,3,1,0,1,1,1,2,1,1,2,2,1,2,3,1,2,0,2,2,1,1,2,3,1,3,0,3,2,1,2,3,0,2,3,2,0,2,2,1,2,3,1,1,0,0,3,0,0,0,0,3,1,3,2,3,2,2,3,3,2,1,25.0
16,"[1, 1, 0, 1, 1, 1, 2, 2, 3, 1, 1, 0, 1, 1, 0, 0, 0, 3, 2, 2, 2, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 3, 0, 0, 2, 2, 0, 0, 3, 0, 1, 1, 2, 3, 3, 0, 1, 3, 1, 1, 0, 2, 2, 2, 0, 0, 3, 2, 3, 3, 2, 2, 3, 3, 0, 3, 3, 0, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2, 0, 3, 3, 2, 3, 2, 2, 0, 3, 3, 2, 0, 0, 2, 3, 3]","[1.0, 0.8, 1.0, 1.1, 1.2, 0.9, 0.5, 0.6000000000000001, 0.5, 1.0, 0.9, 1.2, 1.2, -11.4, -0.7000000000000001, 0.9, -1.9, 0.4, -0.1, 0.55, 0.05, 0.45, 0.45, 0.45, 1.0, -1.2, 1.2, -1.4, -2.6, 1.1, -2.2, 0.9, 0.0, 0.45, 0.55, 0.6000000000000001, 0.4, -1.5, -0.8, 0.1, -0.1, 1.1, -2.1, 0.55, -0.2, 0.8, 1.1, 0.55, 0.5, -1.9, -1.3, 1.0, 0.55, 0.9, -13.7, 1.0, 0.30000000000000004, -0.1, 0.45, -1.3, -1.6, 0.4, 0.45, 0.6000000000000001, 0.4, 0.4, 0.25, 0.45, 0.55, 1.1, 0.65, 0.7000000000000001, -2.4, -0.15, 0.7000000000000001, 0.5, -0.1, 0.6000000000000001, -2.05, 0.4, 0.55, 0.6000000000000001, 0.55, 0.30000000000000004, 1.0, 0.65, 0.8, 0.15, 0.4, 0.1, 0.55, -0.8, 0.8, 0.4, 0.4, -1.2, -0.4, -0.35000000000000003, 0.65, -2.45]",100,0.2067565453,0.0840519329,2.5232540302,4.2699013267,-0.7716769736,0.6836235983000001,1,1,0,1,1,1,2,2,3,1,1,0,1,1,0,0,0,3,2,2,2,2,3,3,0,0,0,0,0,0,0,0,2,2,3,3,3,0,0,2,2,0,0,3,0,1,1,2,3,3,0,1,3,1,1,0,2,2,2,0,0,3,2,3,3,2,2,3,3,0,3,3,0,2,2,3,2,2,3,2,2,3,3,2,0,3,3,2,3,2,2,0,3,3,2,0,0,2,3,3,51.0
17,"[0, 2, 1, 0, 0, 0, 1, 2, 1, 0, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2]","[1.0, 0.5, 1.0, 1.2, -0.7000000000000001, 0.9, 0.8, 0.6000000000000001, 1.1, -1.9, 1.2, -0.1, 0.55, 0.05, 0.9, 1.0, 0.9, 0.45, 1.2, 0.0, -11.4, 0.5, 0.45, 0.4, 0.1, 0.45, -0.1, 0.55, 0.45, 0.55, 0.30000000000000004, 0.6000000000000001, 0.4, -0.1, 0.45, 0.55, 0.5, 0.45, -1.9, 0.4, 1.0, 0.25, -1.2, 1.2, -0.15, 0.7000000000000001, -0.1, 0.6000000000000001, 0.4, 0.55, -1.4, -2.6, 1.1, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.30000000000000004, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.55, 0.65, -0.2, 0.5, -0.05, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.4, 0.5, 0.6000000000000001, 0.45, 0.4, -0.15, 0.55, 0.0, 0.45, 0.55, 0.15, 0.65, 0.5, 0.7000000000000001, 0.5, 0.6000000000000001, -2.05, 0.4, 0.45, 0.55, 0.5, 0.6000000000000001, -0.1, 0.6000000000000001, 0.05]",100,0.3379077649,0.9445621278,4.8246716611,3.8166387718,-1.5831862196,1.7473958858,0,2,1,0,0,0,1,2,1,0,1,2,2,2,1,1,1,2,1,2,1,3,2,3,2,3,2,2,3,3,2,3,3,2,2,3,3,2,3,2,0,2,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,2,2,3,2,2,2,77.0
18,"[1, 3, 0, 3, 3, 1, 2, 0, 0, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 0, 0, 0, 3]","[1.0, 0.5, 1.0, 0.4, 0.45, 0.8, 0.5, 1.2, -0.7000000000000001, 0.6000000000000001, 1.1, -0.1, 1.2, 0.9, 1.0, 0.9, 1.2, -11.4, 0.55, 0.45, 0.55, 0.6000000000000001, 0.4, 0.05, 0.55, 0.5, -1.9, 0.45, 0.0, 0.45, 0.1, -0.1, 0.9, -1.9, 0.55, 0.30000000000000004, -0.1, 0.45, 0.45, 0.4, 0.25, -0.15, 0.7000000000000001, -0.1, 0.55, 0.6000000000000001, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.30000000000000004, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, 0.5, -0.05, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 1.0, -1.2, 0.5, 0.45, 0.4, -0.15, 0.55, 0.6000000000000001, 0.0, 0.15, 0.5, 0.4, 0.45, 0.6000000000000001, 0.4, 0.45, 0.55, 0.5, -0.1, 0.6000000000000001, 0.05, 0.2, 0.55, 0.65, 0.7000000000000001, 0.5, -2.05, 1.2, -1.4, -2.6, 0.6000000000000001]",100,0.3075166245,0.5101613445000001,1.795367967,2.7278039475,0.6177154371,-0.8253906422,1,3,0,3,3,1,2,0,0,2,1,2,1,1,1,1,1,1,2,3,3,3,3,2,3,3,3,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,0,0,3,73.0
19,"[3, 1, 3, 2, 0, 3, 1, 0, 2, 3, 0, 3, 1, 0, 1, 2, 0, 3, 0, 2, 3, 0, 1, 3, 1, 0, 2, 1, 1, 2, 1, 3, 1, 2, 3, 1, 1, 0, 1, 3, 0, 2, 0, 2, 1, 3, 1, 3, 0, 1, 3, 1, 3, 2, 1, 0, 3, 0, 2, 3, 0, 2, 0, 1, 1, 1, 3, 0, 3, 3, 0, 0, 1, 0, 1, 3, 2, 0, 0, 1, 3, 0, 1, 2, 1, 3, 2, 0, 1, 0, 3, 1, 3, 1, 0, 1, 1, 2, 0, 1]","[0.5, 1.0, 0.4, 0.5, 1.0, 0.45, 0.8, 1.2, 0.6000000000000001, 0.45, -0.7000000000000001, 0.55, 1.1, 0.9, 1.2, -0.1, -1.9, 0.6000000000000001, 1.0, 0.55, 0.4, -1.2, 0.9, 0.55, 1.0, 1.2, 0.05, 0.9, 1.2, 0.45, -11.4, 0.5, 0.8, 0.0, -1.9, 1.1, 1.0, -1.4, 0.9, 0.55, -2.6, 0.45, 1.1, 0.1, -13.7, 0.4, 1.2, 0.6000000000000001, -2.2, 1.3, 0.4, 1.1, 0.45, -0.1, 0.9, 0.9, 0.55, -1.5, 0.55, 0.65, -0.8, 0.30000000000000004, 1.1, 1.0, 1.2, -16.3, 0.7000000000000001, -2.1, 0.5, -2.05, -0.2, -1.3, 1.1, 1.0, 1.4, 0.6000000000000001, -0.1, -1.3, -1.6, 1.3, 0.55, 1.1, 1.0, 0.45, 1.1, 0.65, 0.45, -2.4, 1.2, 1.0, 0.8, 1.2, 0.4, 1.4, -0.8, 1.1, 1.3, 0.4, -1.2, -18.6]",100,0.058979114900000004,0.012661107100000001,1.9098260047000002,4.1785642203,-0.3628924853,-0.9676444503,3,1,3,2,0,3,1,0,2,3,0,3,1,0,1,2,0,3,0,2,3,0,1,3,1,0,2,1,1,2,1,3,1,2,3,1,1,0,1,3,0,2,0,2,1,3,1,3,0,1,3,1,3,2,1,0,3,0,2,3,0,2,0,1,1,1,3,0,3,3,0,0,1,0,1,3,2,0,0,1,3,0,1,2,1,3,2,0,1,0,3,1,3,1,0,1,1,2,0,1,36.0
20,"[0, 2, 3, 2, 1, 0, 1, 0, 3, 3, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 2, 3, 2, 2, 3, 1, 1, 2, 1, 2, 2, 3, 3, 0, 3, 0, 3, 2, 0, 2, 2, 2, 3, 2, 3, 2, 2, 0, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 0, 3, 0, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 0, 2]","[1.0, 0.5, 0.5, 0.6000000000000001, 1.0, 1.2, 0.8, -0.7000000000000001, 0.4, 0.45, -0.1, 1.1, 1.2, 0.55, 0.05, 0.9, 0.45, 1.0, 0.45, 0.0, 0.45, 0.55, 0.1, -0.1, 0.6000000000000001, 0.9, 1.2, 0.55, -11.4, 0.30000000000000004, -0.1, 0.4, 0.55, 0.9, 0.5, -1.9, -1.9, 0.45, 1.0, 0.45, 0.4, 0.25, 0.55, -0.15, 0.4, 0.7000000000000001, -0.1, -1.2, 0.6000000000000001, 0.6000000000000001, 0.4, 0.45, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.55, 0.30000000000000004, 0.4, 0.75, 0.65, 0.30000000000000004, 0.35000000000000003, 1.2, 0.45, 0.65, -0.2, -1.4, 0.7000000000000001, -2.6, 0.5, -0.05, 0.5, -2.05, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.5, 0.45, -0.15, 0.55, 0.6000000000000001, 0.0, 0.15, 0.55, 0.5, 0.6000000000000001, 0.4, 0.45, 0.55, 0.5, -0.1, 1.1, 0.6000000000000001]",100,0.0914783329,0.947024461,2.263083719,1.2003044647,1.8259773346000001,-1.4927833929,0,2,3,2,1,0,1,0,3,3,2,1,1,2,2,1,2,1,3,2,2,3,2,2,3,1,1,2,1,2,2,3,3,0,3,0,3,2,0,2,2,2,3,2,3,2,2,0,3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,0,2,2,2,0,3,0,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,0,2,61.0
21,"[1, 0, 2, 1, 2, 3, 3, 3, 3, 0, 0, 2, 3, 0, 0, 3, 2, 0, 1, 1, 3, 3, 2, 1, 2, 2, 3, 3, 1, 0, 0, 3, 3, 3, 2, 2, 1, 0, 0, 3, 2, 1, 1, 2, 3, 3, 0, 0, 1, 3, 0, 0, 1, 0, 2, 1, 2, 0, 1, 1, 1, 2, 0, 3, 3, 3, 2, 2, 2, 1, 2, 1, 0, 1, 3, 0, 3, 0, 1, 2, 2, 1, 0, 0, 0, 1, 3, 3, 2, 2, 2, 2, 2, 2, 0, 3, 3, 2, 1, 2]","[1.0, 1.0, 0.5, 0.8, 0.6000000000000001, 0.5, 0.4, 0.45, 0.45, 1.2, -0.7000000000000001, -0.1, 0.55, 0.9, -1.9, 0.6000000000000001, 0.55, 1.0, 1.1, 1.2, 0.4, 0.55, 0.05, 0.9, 0.45, 0.0, 0.5, -1.9, 1.0, -1.2, 1.2, 0.55, 0.4, 0.6000000000000001, 0.45, 0.1, 0.9, -1.4, -2.6, 0.4, -0.1, 1.2, -11.4, 0.55, 0.45, 0.55, 1.1, -2.2, 0.8, 0.65, 0.9, -1.5, 1.1, -0.8, 0.30000000000000004, 1.0, -0.1, 1.1, 0.9, -13.7, 1.2, 0.45, -2.1, 0.7000000000000001, 0.5, -2.05, 0.45, 0.4, 0.25, 1.3, -0.15, 1.1, -0.2, 0.9, 0.6000000000000001, -1.3, 0.55, 1.0, 1.0, 0.7000000000000001, -0.1, 1.2, -1.3, -1.6, 1.1, -16.3, 0.65, 0.8, 0.6000000000000001, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, -2.4, 0.4, 0.8, 0.55, 1.1, 0.4]",100,0.9218871511000001,0.1841529214,4.7652373635,0.0977321809,1.9070884442,1.6027233495000002,1,0,2,1,2,3,3,3,3,0,0,2,3,0,0,3,2,0,1,1,3,3,2,1,2,2,3,3,1,0,0,3,3,3,2,2,1,0,0,3,2,1,1,2,3,3,0,0,1,3,0,0,1,0,2,1,2,0,1,1,1,2,0,3,3,3,2,2,2,1,2,1,0,1,3,0,3,0,1,2,2,1,0,0,0,1,3,3,2,2,2,2,2,2,0,3,3,2,1,2,37.0
