x,subjID,X
1,124,120
4,124,45
3,124,10
1,124,-140
4,124,55
4,124,65
4,124,70
3,124,-10
1,124,-260
4,124,50
4,124,-205
4,124,60
2,124,120
2,124,-1140
4,124,55
3,124,55
1,124,110
4,124,65
2,124,80
3,124,30
1,124,-220
4,124,80
3,124,-10
2,124,110
1,124,90
4,124,40
3,124,45
2,124,100
4,124,80
1,124,-150
4,124,40
3,124,45
2,124,90
4,124,65
1,124,-80
3,124,40
4,124,-245
2,124,-1370
4,124,60
3,124,25
1,124,110
2,124,120
3,124,-15
4,124,65
1,124,-210
3,124,70
2,124,130
4,124,75
1,124,-20
2,124,110
4,124,60
3,124,-10
2,124,90
4,124,65
3,124,60
1,124,-130
4,124,-250
3,124,40
4,124,85
4,124,45
1,124,100
4,124,55
2,124,100
3,124,55
3,127,50
1,127,100
4,127,50
2,127,100
3,127,60
3,127,-10
3,127,55
1,127,120
1,127,-70
1,127,90
1,127,-190
2,127,80
2,127,110
2,127,120
2,127,90
2,127,100
2,127,90
2,127,120
2,127,-1140
4,127,40
4,127,45
4,127,45
4,127,55
3,127,5
4,127,60
4,127,40
4,127,55
4,127,50
4,127,-190
4,127,55
4,127,40
4,127,60
4,127,40
4,127,45
4,127,55
4,127,65
4,127,70
4,127,50
4,127,-205
3,127,45
2,127,80
1,127,100
2,127,110
3,127,0
4,127,60
1,127,-120
2,127,100
2,127,90
2,127,-1370
3,127,45
3,127,10
3,127,-10
1,127,120
1,127,-140
1,127,-260
2,127,120
4,127,55
2,127,130
2,127,110
4,127,65
2,127,90
4,127,80
2,127,100
4,127,40
2,127,120
4,127,80
2,127,-1630
2,127,110
2,127,140
2,127,130
2,127,100
1,127,110
1,127,-220
2,127,110
2,127,120
2,127,120
2,127,140
2,127,110
2,127,130
2,127,-1860
4,127,40
4,127,65
4,127,-245
4,127,60
3,127,55
2,127,120
1,127,90
2,127,110
3,127,30
4,127,65
1,127,-150
2,127,130
3,127,-10
2,127,150
1,127,-80
2,127,110
3,127,45
4,127,75
1,127,110
2,127,150
1,128,100
2,128,100
3,128,50
3,128,60
3,128,-10
4,128,50
4,128,40
4,128,45
4,128,45
4,128,55
4,128,60
4,128,40
4,128,55
4,128,50
4,128,-190
3,128,55
3,128,5
4,128,55
3,128,45
4,128,40
3,128,0
4,128,60
3,128,45
3,128,10
4,128,40
4,128,45
3,128,-10
4,128,55
3,128,55
3,128,30
4,128,65
3,128,-10
4,128,70
4,128,50
4,128,-205
3,128,45
3,128,45
3,128,40
4,128,60
3,128,25
4,128,55
4,128,65
