x,subjID,X
3,103,50
3,103,60
3,103,-10
4,103,50
3,103,55
1,103,100
1,103,120
2,103,100
4,103,40
1,103,-70
2,103,80
2,103,110
3,103,5
1,103,90
2,103,120
3,103,45
2,103,90
1,103,-190
2,103,100
1,103,100
1,103,-120
1,103,120
1,103,-140
1,103,-260
2,103,90
1,103,110
1,103,-220
1,103,90
1,103,-150
4,103,45
3,103,0
3,103,45
2,103,120
2,103,-1140
1,103,-80
2,103,80
2,103,110
4,103,45
2,103,100
3,103,10
2,103,90
3,103,-10
2,103,-1370
1,103,110
1,103,-210
2,103,120
2,103,130
2,103,110
3,103,55
2,103,90
2,103,100
1,103,-20
1,103,-130
2,103,120
4,103,55
4,103,60
4,103,40
4,103,55
3,103,30
4,103,50
4,103,-190
4,103,55
4,103,40
4,103,60
4,103,40
4,103,45
4,103,55
4,103,65
4,103,70
4,103,50
4,103,-205
4,103,60
4,103,55
2,103,-1630
4,103,65
4,103,80
4,103,40
4,103,80
1,103,100
2,103,110
1,103,-130
3,103,-10
4,103,40
4,103,65
4,103,-245
4,103,60
4,103,65
4,103,75
4,103,60
4,103,65
4,103,-250
4,103,85
4,103,45
4,103,55
4,103,70
4,103,55
4,103,70
4,103,80
4,103,65
4,103,70
1,104,100
2,104,100
3,104,50
4,104,50
2,104,80
3,104,60
1,104,120
1,104,-70
3,104,-10
2,104,110
2,104,120
1,104,90
4,104,40
2,104,90
1,104,-190
1,104,100
2,104,100
4,104,45
3,104,55
2,104,90
2,104,120
2,104,-1140
2,104,80
2,104,110
2,104,100
2,104,90
1,104,-120
1,104,120
1,104,-140
2,104,-1370
4,104,45
4,104,55
4,104,60
1,104,-260
2,104,120
3,104,5
1,104,110
2,104,130
4,104,40
1,104,-220
4,104,55
4,104,50
4,104,-190
1,104,90
1,104,-150
1,104,-80
4,104,55
1,104,110
2,104,110
4,104,40
1,104,-210
2,104,90
3,104,45
4,104,60
2,104,100
3,104,0
1,104,-20
1,104,-130
1,104,100
2,104,120
3,104,45
4,104,40
3,104,10
2,104,-1630
1,104,-130
4,104,45
1,104,-160
1,104,110
4,104,55
3,104,-10
1,104,-240
1,104,100
4,104,65
3,104,55
2,104,110
1,104,-80
4,104,70
3,104,30
1,104,-120
4,104,50
1,104,-40
2,104,140
4,104,-205
1,104,-110
4,104,60
3,104,-10
1,104,120
1,104,-220
2,104,130
2,104,100
2,104,110
4,104,55
4,104,65
2,104,120
4,104,80
2,104,120
4,104,40
2,104,140
4,104,80
2,104,110
2,114,100
1,114,100
2,114,80
4,114,50
4,114,40
2,114,110
2,114,120
1,114,120
4,114,45
1,114,-70
4,114,45
2,114,90
4,114,55
2,114,100
4,114,60
2,114,90
4,114,40
2,114,120
4,114,55
2,114,-1140
3,114,50
1,114,90
4,114,50
3,114,60
3,114,-10
1,114,-190
4,114,-190
3,114,55
3,114,5
4,114,55
1,114,100
3,114,45
2,114,80
4,114,40
1,114,-120
3,114,0
2,114,110
4,114,60
2,114,100
2,114,90
2,114,-1370
4,114,40
3,114,45
2,114,120
4,114,45
3,114,10
2,114,130
4,114,55
2,114,110
3,114,-10
2,114,90
4,114,65
2,114,100
4,114,70
2,114,120
4,114,50
2,114,-1630
4,114,-205
3,114,55
1,114,120
1,114,-140
2,114,110
2,114,140
4,114,60
1,114,-260
2,114,130
3,114,30
2,114,100
4,114,55
2,114,110
4,114,65
2,114,120
4,114,80
2,114,120
4,114,40
2,114,140
4,114,80
2,114,110
4,114,40
2,114,130
4,114,65
2,114,-1860
4,114,-245
4,114,60
2,114,120
4,114,65
2,114,110
3,114,-10
2,114,130
4,114,75
4,114,60
2,114,150
4,114,65
4,114,-250
2,114,110
2,114,150
4,114,85
2,114,120
4,114,45
4,114,55
1,115,100
3,115,50
3,115,60
4,115,50
3,115,-10
4,115,40
2,115,100
4,115,45
2,115,80
1,115,120
4,115,45
3,115,55
4,115,55
1,115,-70
2,115,110
1,115,90
4,115,60
4,115,40
4,115,55
1,115,-190
2,115,120
4,115,50
4,115,-190
3,115,5
4,115,55
4,115,40
2,115,90
1,115,100
2,115,100
1,115,-120
4,115,60
1,115,120
3,115,45
4,115,40
1,115,-140
2,115,90
2,115,120
4,115,45
3,115,0
1,115,-260
3,115,45
2,115,-1140
4,115,55
4,115,65
1,115,110
3,115,10
4,115,70
1,115,-220
2,115,80
4,115,50
1,115,90
3,115,-10
1,115,-150
4,115,-205
4,115,60
1,115,-80
3,115,55
3,115,30
3,115,-10
3,115,45
3,115,45
3,115,40
3,115,25
1,115,110
3,115,-15
3,115,70
3,115,-10
1,115,-210
3,115,60
3,115,40
3,115,55
3,115,30
1,115,-20
4,115,55
3,115,15
1,115,-130
2,115,110
1,115,100
2,115,100
3,115,10
3,115,55
2,115,90
3,115,40
1,115,-130
4,115,65
3,115,-35
4,115,80
4,115,40
4,115,80
4,115,40
1,115,-160
4,115,65
4,115,-245
4,115,60
3,115,30
1,115,110
3,115,40
4,115,65
4,115,75
3,115,75
3,116,50
2,116,100
1,116,100
4,116,50
4,116,40
3,116,60
2,116,80
1,116,120
1,116,-70
2,116,110
3,116,-10
2,116,120
2,116,90
2,116,100
2,116,90
2,116,120
2,116,-1140
4,116,45
4,116,45
4,116,55
4,116,60
4,116,40
4,116,55
4,116,50
4,116,-190
2,116,80
2,116,110
1,116,90
4,116,55
1,116,-190
2,116,100
2,116,90
2,116,-1370
3,116,55
3,116,5
4,116,40
4,116,60
4,116,40
1,116,100
2,116,120
2,116,130
3,116,45
3,116,0
3,116,45
2,116,110
2,116,90
4,116,45
1,116,-120
2,116,100
2,116,120
2,116,-1630
2,116,110
3,116,10
4,116,55
3,116,-10
4,116,65
4,116,70
3,116,55
3,116,30
2,116,140
1,116,120
4,116,50
4,116,-205
3,116,-10
1,116,-140
2,116,130
2,116,100
1,116,-260
4,116,60
1,116,110
3,116,45
3,116,45
1,116,-220
3,116,40
1,116,90
1,116,-150
1,116,-80
1,116,110
2,116,110
3,116,25
3,116,-15
1,116,-210
3,116,70
1,116,-20
2,116,120
2,116,120
3,116,-10
4,116,55
3,116,60
3,116,40
3,116,55
3,116,30
1,116,-130
1,116,100
2,116,140
3,116,15
3,116,10
4,116,65
2,116,110
2,116,130
4,121,50
3,121,50
1,121,100
2,121,100
1,121,120
4,121,40
3,121,60
4,121,45
1,121,-70
2,121,80
1,121,90
3,121,-10
4,121,45
1,121,-190
1,121,100
2,121,110
4,121,55
1,121,-120
3,121,55
4,121,60
1,121,120
1,121,-140
3,121,5
4,121,40
1,121,-260
1,121,110
1,121,-220
3,121,45
1,121,90
4,121,55
2,121,120
3,121,0
1,121,-150
4,121,50
2,121,90
3,121,45
4,121,-190
1,121,-80
3,121,10
4,121,55
2,121,100
1,121,110
2,121,90
3,121,-10
4,121,40
2,121,120
3,121,55
1,121,-210
4,121,60
4,121,40
1,121,-20
1,121,-130
1,121,100
1,121,-130
1,121,-160
1,121,110
1,121,-240
1,121,100
1,121,-80
2,121,-1140
3,121,30
4,121,45
1,121,-120
1,121,-40
3,121,-10
4,121,55
1,121,-110
3,121,45
2,121,80
4,121,65
1,121,120
1,121,-220
3,121,45
2,121,110
4,121,70
1,121,-80
3,121,40
4,121,50
1,121,-110
1,121,-120
1,121,-40
2,121,100
3,121,25
4,121,-205
3,121,-15
1,121,150
2,121,90
4,121,60
3,121,70
4,121,55
1,121,-10
2,121,-1370
1,121,-180
3,121,-10
4,121,65
1,121,-200
2,121,120
3,121,60
4,121,80
1,121,110
1,126,100
1,126,120
4,126,50
3,126,50
3,126,60
1,126,-70
1,126,90
1,126,-190
1,126,100
1,126,-120
1,126,120
4,126,40
3,126,-10
2,126,100
1,126,-140
1,126,-260
1,126,110
1,126,-220
1,126,90
2,126,80
3,126,55
4,126,45
1,126,-150
1,126,-80
1,126,110
1,126,-210
1,126,-20
1,126,-130
1,126,100
1,126,-130
1,126,-160
1,126,110
4,126,45
3,126,5
2,126,110
4,126,55
2,126,120
4,126,60
2,126,90
4,126,40
2,126,100
4,126,55
2,126,90
4,126,50
2,126,120
4,126,-190
2,126,-1140
3,126,45
1,126,-240
2,126,80
3,126,0
3,126,45
4,126,55
1,126,100
3,126,10
4,126,40
1,126,-80
1,126,-120
1,126,-40
3,126,-10
4,126,60
2,126,110
2,126,100
3,126,55
1,126,-110
3,126,30
2,126,90
4,126,40
4,126,45
4,126,55
4,126,65
4,126,70
4,126,50
4,126,-205
4,126,60
1,126,120
4,126,55
2,126,-1370
2,126,120
4,126,65
1,126,-220
4,126,80
4,126,40
4,126,80
3,126,-10
2,126,130
4,126,40
4,126,65
4,126,-245
3,126,45
3,126,45
3,126,40
4,126,60
2,126,110
3,126,25
3,126,-15
4,126,65
4,126,75
4,126,60
4,126,65
1,128,100
2,128,100
3,128,50
3,128,60
3,128,-10
4,128,50
4,128,40
4,128,45
4,128,45
4,128,55
4,128,60
4,128,40
4,128,55
4,128,50
4,128,-190
3,128,55
3,128,5
4,128,55
3,128,45
4,128,40
3,128,0
4,128,60
3,128,45
3,128,10
4,128,40
4,128,45
3,128,-10
4,128,55
3,128,55
3,128,30
4,128,65
3,128,-10
4,128,70
4,128,50
