x,subjID,X
1,115,100
3,115,50
3,115,60
4,115,50
3,115,-10
4,115,40
2,115,100
4,115,45
2,115,80
1,115,120
4,115,45
3,115,55
4,115,55
1,115,-70
2,115,110
1,115,90
4,115,60
4,115,40
4,115,55
1,115,-190
2,115,120
4,115,50
4,115,-190
3,115,5
4,115,55
4,115,40
2,115,90
1,115,100
2,115,100
1,115,-120
4,115,60
1,115,120
3,115,45
4,115,40
1,115,-140
2,115,90
2,115,120
4,115,45
3,115,0
1,115,-260
3,115,45
2,115,-1140
4,115,55
4,115,65
1,115,110
3,115,10
4,115,70
1,115,-220
2,115,80
4,115,50
1,115,90
3,115,-10
1,115,-150
4,115,-205
4,115,60
1,115,-80
3,115,55
3,115,30
3,115,-10
3,115,45
3,115,45
3,115,40
3,115,25
1,115,110
3,115,-15
3,115,70
3,115,-10
1,115,-210
3,115,60
3,115,40
3,115,55
3,115,30
1,115,-20
4,115,55
3,115,15
1,115,-130
2,115,110
1,115,100
2,115,100
3,115,10
3,115,55
2,115,90
3,115,40
1,115,-130
4,115,65
3,115,-35
4,115,80
4,115,40
4,115,80
4,115,40
1,115,-160
4,115,65
4,115,-245
4,115,60
3,115,30
1,115,110
3,115,40
4,115,65
4,115,75
3,115,75
3,116,50
2,116,100
1,116,100
4,116,50
4,116,40
3,116,60
2,116,80
1,116,120
1,116,-70
2,116,110
3,116,-10
2,116,120
2,116,90
2,116,100
2,116,90
2,116,120
2,116,-1140
4,116,45
4,116,45
4,116,55
4,116,60
4,116,40
4,116,55
4,116,50
4,116,-190
2,116,80
2,116,110
1,116,90
4,116,55
1,116,-190
2,116,100
2,116,90
2,116,-1370
3,116,55
3,116,5
4,116,40
4,116,60
4,116,40
1,116,100
2,116,120
2,116,130
3,116,45
3,116,0
3,116,45
2,116,110
2,116,90
4,116,45
1,116,-120
2,116,100
2,116,120
2,116,-1630
2,116,110
3,116,10
4,116,55
3,116,-10
4,116,65
4,116,70
3,116,55
3,116,30
2,116,140
1,116,120
4,116,50
4,116,-205
3,116,-10
1,116,-140
2,116,130
2,116,100
1,116,-260
4,116,60
1,116,110
3,116,45
3,116,45
1,116,-220
3,116,40
1,116,90
1,116,-150
1,116,-80
1,116,110
2,116,110
3,116,25
3,116,-15
1,116,-210
3,116,70
1,116,-20
2,116,120
2,116,120
3,116,-10
4,116,55
3,116,60
3,116,40
3,116,55
3,116,30
1,116,-130
1,116,100
2,116,140
3,116,15
3,116,10
4,116,65
2,116,110
2,116,130
2,117,100
2,117,80
2,117,110
2,117,120
2,117,90
2,117,100
2,117,90
2,117,120
2,117,-1140
3,117,50
2,117,80
4,117,50
1,117,100
1,117,120
1,117,-70
1,117,90
1,117,-190
2,117,110
3,117,60
3,117,-10
4,117,40
3,117,55
4,117,45
4,117,45
4,117,55
3,117,5
4,117,60
3,117,45
3,117,0
4,117,40
2,117,100
3,117,45
2,117,90
3,117,10
1,117,100
2,117,-1370
1,117,-120
2,117,120
3,117,-10
2,117,130
4,117,55
3,117,55
4,117,50
4,117,-190
3,117,30
4,117,55
3,117,-10
4,117,40
2,117,110
3,117,45
2,117,90
4,117,60
3,117,45
4,117,40
2,117,100
3,117,40
4,117,45
3,117,25
4,117,55
1,117,120
3,117,-15
2,117,120
1,117,-140
2,117,-1630
2,117,110
1,117,-260
2,117,140
2,117,130
2,117,100
2,117,110
3,117,70
4,117,65
3,117,-10
4,117,70
4,117,50
3,117,60
4,117,-205
3,117,40
4,117,60
3,117,55
4,117,55
3,117,30
4,117,65
3,117,15
2,117,120
2,117,120
2,117,140
3,117,10
3,117,55
4,117,80
4,117,40
3,117,40
3,117,-35
3,117,30
3,117,40
3,117,75
3,117,30
3,117,35
3,117,45
3,117,65
4,121,50
3,121,50
1,121,100
2,121,100
1,121,120
4,121,40
3,121,60
4,121,45
1,121,-70
2,121,80
1,121,90
3,121,-10
4,121,45
1,121,-190
1,121,100
2,121,110
4,121,55
1,121,-120
3,121,55
4,121,60
1,121,120
1,121,-140
3,121,5
4,121,40
1,121,-260
1,121,110
1,121,-220
3,121,45
1,121,90
4,121,55
2,121,120
3,121,0
1,121,-150
4,121,50
2,121,90
3,121,45
4,121,-190
1,121,-80
3,121,10
4,121,55
2,121,100
1,121,110
2,121,90
3,121,-10
4,121,40
2,121,120
3,121,55
1,121,-210
4,121,60
4,121,40
1,121,-20
1,121,-130
1,121,100
1,121,-130
1,121,-160
1,121,110
1,121,-240
1,121,100
1,121,-80
2,121,-1140
3,121,30
4,121,45
1,121,-120
1,121,-40
3,121,-10
4,121,55
1,121,-110
3,121,45
2,121,80
4,121,65
1,121,120
1,121,-220
3,121,45
2,121,110
4,121,70
