"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"Smu_grp1[1]" -0.0597949051201704 0.133181708799255 -0.320801517557609 -0.148230904302631 -0.0565326802223365 0.0309636643299447 0.193981274087786 1.00166929186511 2200
"Smu_grp1[2]" -0.0433579094802763 0.127184241971868 -0.289328408091992 -0.129815815525309 -0.0412578356548757 0.0412312840924844 0.206982632464342 1.00075156567384 6000
"Smu_grp1[3]" -0.0329253392844514 0.11839009613044 -0.264240404328604 -0.113901460455231 -0.0320370595651067 0.0459929230607619 0.199620871838741 1.00091511214032 6000
"Smu_grp1[4]" -0.0740251138421185 0.133688933789619 -0.3472589306197 -0.161119704448589 -0.0710400940198418 0.0137687269443748 0.182420708390954 1.00180753069349 1900
"Smu_grp1[5]" -0.0188044122672712 0.117080992309438 -0.249640824123394 -0.0977587724403544 -0.0179671492209976 0.0593817072305958 0.21040501444439 1.00126090526119 3900
"Smu_grp1[6]" -0.00994788976073313 0.116039077379254 -0.236494473710525 -0.0854975278519273 -0.0115553258809015 0.0646471571341856 0.222651161182535 1.0011045631308 5600
"Smu_grp1[7]" -0.0738335545456752 0.131510360201411 -0.333332912481725 -0.16056071344166 -0.0735663951116817 0.0148656906982779 0.183763672194423 1.00161009772941 2300
"Smu_grp1[8]" -0.0444433737103454 0.126994960020767 -0.292250979392949 -0.13080114971206 -0.0445740864451976 0.0389282857125238 0.205794619095596 1.00231803924064 1300
"Smu_grp1[9]" -0.0308577803377176 0.126633807065388 -0.273561326916157 -0.114424020806648 -0.0319819262049441 0.0532727484187378 0.216639995552472 1.00237038447316 1200
"Smu_grp1[10]" -0.0708164645959676 0.138618803368988 -0.348208648008777 -0.161254797036001 -0.0716293141364712 0.0218926888528612 0.203076513228797 1.00078994336214 6000
"Smu_grp1[11]" -0.0786595819317287 0.127632090323162 -0.332406550748359 -0.161358769354993 -0.0759320637269964 0.00643097095057919 0.174019572283748 1.00113017656633 5200
"Smu_grp1[12]" -0.088218899092326 0.127092652422714 -0.337060138244118 -0.173774505443627 -0.088395109080156 -0.00254208749350627 0.157888165968715 1.00155849095769 2500
"Smu_grp1[13]" 0.0136342258674368 0.118007518348759 -0.211058476080273 -0.0652162327394127 0.0131199296902616 0.0907093521762225 0.248843551591126 1.00088036970046 6000
"Smu_grp1[14]" -0.053245277573337 0.126919415516793 -0.305936607191219 -0.136781128421597 -0.0508782284287735 0.0301050826449663 0.195756569734953 1.00079128387624 6000
"Smu_grp1[15]" -0.0721521334284106 0.132302009380274 -0.332309564450724 -0.160673689074636 -0.0717616877260637 0.0187759158431727 0.184434311266629 1.00166112761442 2200
"Smu_grp1[16]" -0.0701554107283128 0.136068893461654 -0.34130921015717 -0.161638892370555 -0.0712480909478699 0.0200840411357481 0.199891912851667 1.00159930166821 2400
"Smu_grp1[17]" -0.0429517185334622 0.126394085940841 -0.298721070028873 -0.124929043843189 -0.0437994018576876 0.04011217164974 0.208031773673123 1.00135269731549 3300
"Smu_grp1[18]" -0.0490936472750775 0.134127037003174 -0.313713017513 -0.1363028825124 -0.0477991922999167 0.0390449622230136 0.21167614569986 1.00407902742452 600
"Smu_grp1[19]" -0.0930123312394647 0.127295441076144 -0.345651947554959 -0.178685102143001 -0.0912819606158983 -0.00675727256221785 0.152678824235589 1.00194522080059 1700
"Smu_grp1[20]" -0.0189092947022929 0.117652958504705 -0.248848139870009 -0.097667216240962 -0.0190026378729881 0.0596820790802535 0.215620760460888 1.00222327354032 1400
"Smu_grp1[21]" -0.0690765674993632 0.127434395454616 -0.317114721352282 -0.156343750952623 -0.0673165180711931 0.0145978005218595 0.183532259811024 1.00139629164887 3100
"Smu_grp1[22]" -0.0466688829825859 0.128158813845239 -0.297670757601588 -0.131929264113771 -0.0459806522498675 0.0380750826879879 0.205974468428498 1.00156260835081 2500
"Smu_grp1[23]" -0.0342071824884255 0.120512873492515 -0.266569743322956 -0.11488073915717 -0.0332411667983455 0.0440136386394801 0.206988714057166 1.00121928408912 4300
"Smu_grp1[24]" -0.0621342968516593 0.134735405767242 -0.328787134771336 -0.151303045983292 -0.0605488376068364 0.0280004917530231 0.196754547804065 1.00098257119884 6000
"Smu_grp1[25]" -0.0484987488533045 0.130433872676518 -0.305134980366024 -0.135355869697098 -0.0491363872099813 0.0377114337860155 0.210719486883411 1.00239412412055 1200
"Smu_grp1[26]" -0.0303594470245553 0.127470127380051 -0.280173816247078 -0.116132741921036 -0.0317252331056432 0.0530634191049125 0.226706112145963 1.00178298427578 1900
"Smu_grp1[27]" -0.0407726043663299 0.11790902793927 -0.273629156911821 -0.119767003838396 -0.041188357352251 0.0391467951385942 0.192808060810841 1.00133939880338 3400
"Smu_grp1[28]" -0.0339468769089533 0.11767340108265 -0.268579415482217 -0.112120868982573 -0.0332322386399888 0.0460679950049325 0.194113358335557 1.00105496277288 6000
"Smu_grp1[29]" -0.00425892987594702 0.118082398496444 -0.236297133349471 -0.0833281391741952 -0.00501924574719216 0.0737713855104775 0.228808443677519 1.00155519510483 2500
"Smu_grp1[30]" -0.0582281253592047 0.117792261305581 -0.290182206335076 -0.136966650523612 -0.0586586970836651 0.0189305265835903 0.170649537037915 1.00110203372466 5700
"Smu_grp2[1]" 0.0122391850939166 0.122872272991195 -0.22900626174331 -0.0708113534123285 0.0121429571352048 0.0928283384159787 0.253828093635722 1.0009339319059 6000
"Smu_grp2[2]" 0.0336868503898222 0.124309852852435 -0.213480775776381 -0.0483185299798632 0.0345882074009459 0.116600838938048 0.274537012264333 1.00085840604713 6000
