,true_alpha_a_rew,true_alpha_a_pun,true_alpha_K,true_alpha_omega_f,true_alpha_omega_p,infer_alpha_a_rew,infer_alpha_a_pun,infer_alpha_K,infer_alpha_omega_f,infer_alpha_omega_p
1,0.3202635378,-0.4032161105,-1.9943491708,-3.0221824342,-1.1735824645,0.422584490164239,-0.60970600078181,-0.432866416927009,-2.73317196683974,-1.37730154300693
2,0.3620064029,-0.3233687756,1.745280424,-0.8647653543,-0.775002678,0.49930814084904,-0.600397431517968,-0.646268503135006,-0.830769094870215,-0.98770563798193
3,-0.3577286325,-0.5518632411,-0.7242352812,-0.2587053477,-2.9010382091,-0.501919431130159,-0.907025076636636,0.576440303239373,-0.346241903990893,-1.87837010784799
4,-0.2328539967,0.5899912816,-1.9261501721,-2.7615759745,0.6798353446,-0.320151730963287,0.607482046415684,-0.805618636937138,-2.75443025971277,0.860486000099888
5,-0.4988219273,0.0849635214000001,1.6614117056,1.719898501,1.2529435884,-0.872429825141732,0.364612561099935,0.0089643514437765,1.52971123004637,0.923197864882103
6,0.3063286638,-0.1819265695,0.8336840746,1.0478647255,0.7645628457,0.559473621657821,-0.764291875488444,-0.208009502930483,0.604815842398905,1.4366026516389
7,-0.4482666988,0.1588497268,1.3325820306,-0.6649139258,1.7476805259,-0.684950487074376,0.249155363058687,-0.211378525670875,-0.339165032765073,1.64038580252589
8,0.3581827821,-0.4020368073,2.0135928039,-0.0817701311,-1.9552360763,0.827200952043627,-0.54281995001428,0.808420388780307,-0.0601241670210385,-1.33008051564139
9,0.3926294909,-0.0465637374,2.6202537166,0.8567861811,-0.3357030392,0.876731592932684,0.0658015446177954,0.382709717918359,0.797280350541485,0.312611778198552
10,0.0316442403,-0.6955628339,2.0829961722,0.0249048549000002,3.3042583932,-0.0346116483851432,-0.897850816955535,0.11758198858845,-0.0689732013933174,2.41676856613543
11,-0.0635482730999999,-0.3358630156,-0.7471678974,2.710170026,0.4851059022,-0.0913428286237332,-0.440196925490108,0.13304189711858,2.42344966834206,0.148006476280089
12,-0.5481985515,0.8460701771,1.8028038878,-2.0216647162,-1.1987425204,-0.50501898283469,0.303398539572997,0.190044567916174,-1.76994248903907,-1.68072372936196
13,-0.1031459765,0.1382472869,1.3457098991,0.2630261773,3.1568499524,-0.136588753721225,0.297129753072587,0.323914475999734,0.215910293247426,3.13911182943859
14,-0.4131506969,-0.4613760527,3.6069995504,3.0009138992,2.6330048117,-0.56739438203173,-0.618844068101013,0.106564759886079,3.09147390900722,2.10894832005458
15,-0.1358124829,-0.0360127799,-0.0972327888000004,-0.1406400945,-0.2744640999,-0.269746032054221,-0.0869634868564725,-0.0581444896352714,0.0185445832775381,-0.2027969296946
16,-0.0806362988999999,-0.8021453473,0.21655614,-2.7919690923,0.5339409411,-0.282175042363922,-0.915194419546418,0.246157492439222,-2.92396863229779,0.186324758906523
17,0.5755196726,-0.6117024951,-0.4242361633,0.0812251598999998,-0.2393596552,0.172291380480581,-0.795592484195549,-0.184836270848803,-0.138961444295057,-0.717692901032208
18,0.0668613414,-0.3392555067,0.3667920217,1.3105162737,-1.4891014843,0.0307321274733809,-0.686094351665421,-0.570800245373904,1.28542963845215,-1.69561118804005
19,-0.517204557,0.6625456803,-2.960555367,-0.1998404081,1.5481580199,-0.803639227782227,0.650375232386725,-0.549599275873217,-0.433026859938993,1.8245539892452
20,-0.490980405,-0.1684499347,-0.3030143171,-0.3106191348,-2.0517480921,-0.660494301381465,-0.212694643796586,-0.305923171711304,-0.265711061637704,-1.91643541141019
21,0.0629039149999999,0.8676891691,2.0078322144,-0.92468927,0.3186313433,0.0121443343403314,0.943957033880984,0.322093589117618,-0.634791833512736,-0.396692720144028
22,0.2330948652,0.003118862,1.0871650548,1.6423750997,-1.0512355066,0.037076202604938,-0.00246013565826941,0.442832067627531,1.26382035819035,-0.980219047973544
23,-0.4882156391,-0.1370970497,1.671940959,2.6500432858,0.335661283,-0.775067805680424,-0.162180297785369,-0.0349303286913631,2.80383534253086,0.0247312228255412
24,-0.021874409,-0.3933752508,-3.4086774155,1.8601084324,0.7748747866,-0.253068039527418,-0.679833722036249,-0.458216727500091,1.4856004773105,0.545540362564971
25,-0.516348379,-0.2735649283,0.2826202448,-0.2786027767,-3.7657135715,-0.840151877653238,-0.300995184631768,0.220106703469839,-0.341052211123815,-2.85160489108345
26,0.1159718903,-0.3198362189,1.2814588711,-0.6781554705,3.0786928168,0.0618312598569073,-0.288806390751102,-0.0906505667872453,-0.729005997785364,2.19002514423375
27,-0.0604192199,-0.2233216508,-0.0708773164,-1.124044258,1.7332961857,-0.159863449124934,-0.521820616910387,0.214898363090238,-0.814065903875414,1.2563886105554
28,-0.1908012469,0.1169897527,-1.6555137647,3.2938587919,-1.0232149685,-0.479875858147923,0.790018030837337,0.272889810920256,2.65429752281535,-0.70621659545625
29,-0.2601564623,-0.818172144,-1.8120706285,0.5963564042,-2.0596459735,-0.471646496972582,-0.0369877967021941,0.630145838573102,0.177466584089298,-1.36194493645317
30,0.3524031562,0.1010842698,-1.7691737478,-2.7906833803,-0.6101253829,0.520947043154254,0.0810663980025175,-0.12598440871497,-2.67991840335621,-0.347950961584265
