"true_mu_a_rew","true_mu_a_pun","true_mu_K","true_mu_omega_f","true_mu_omega_p","infer_mu_a_rew","infer_mu_a_pun","infer_mu_K","infer_mu_omega_f","infer_mu_omega_p","true_lambda_a_rew","true_lambda_a_pun","true_lambda_K","true_lambda_omega_f","true_lambda_omega_p","infer_lambda_a_rew","infer_lambda_a_pun","infer_lambda_K","infer_lambda_omega_f","infer_lambda_omega_p"
0.024041706,0.8047916805,0.3816378526,0.768542357,0.0258395346,0.106638134292276,0.794929847797019,1.90941014895891,0.684506569090685,-0.0455294652778178,10.5454427360926,16.6337085533705,8.45347597963144,2.69923446436419,18.6812654130247,178.556164197658,69.8769369356444,0.315839926195976,6.0425920677853,16.0180766803146
0.4075924621,0.5078698668,1.8095960946,0.6547558678,-0.2154310623,0.395801831615374,0.478761868745171,0.690247362791771,0.674363430181914,-0.302104428385969,63.0394073266908,12.6672478104393,9.80662025437812,3.33910327039354,3.65631322588238,52.6494807772536,84.1077454325654,-0.18251114392883,4.41253752899323,6.02480403988443
0.6770492056,0.0869289452,1.1116337233,1.8701668436,0.6530103241,0.744074551039159,0.103343449171744,0.642755322267681,2.12039712693911,0.484648331153797,55.1934311471688,189.559717983667,32.1766302395894,3.95651695442847,2.708050711288,84.4266322627353,560.675639255169,0.139391073067432,20.5510461750896,3.58780049537815
0.4452696765,0.7626210224,1.7972637163,-1.4544770143,-0.0393662116,0.446376825151988,0.783405681392551,1.5651420198322,-1.32101128952205,0.0515997448444405,17.5886880927515,27.438140171081,8.22818265813116,3.83509952577997,2.90642347014821,150.953244344334,55.5921672922847,0.0083988260634793,18.1729614129119,4.39951723303184
0.7399531206,0.9546181143,3.1194659377,0.9454775736,0.9716416674,0.74116348310083,0.920258926722512,0.281175422075813,1.06962300017756,0.534118924943426,45.734385637032,21.3325989003071,7.10497963873053,4.40909228372564,2.61845880260071,54.0707726460021,62.7504978491404,-0.000738990556652157,35.9977070456476,0.337625094169696
0.4829417874,0.2794829501,4.2052910358,1.0607248868,-0.9611202074,0.498134428969076,0.299640225369056,2.09038187332765,0.967213123387908,-0.670609945821693,31.9120353171261,19.3634033303582,11.079278620192,3.15401725045074,4.14183506423009,70.3964570441617,133.644029771369,0.370805189862534,14.6814262586548,4.61490245136094
0.1288506541,0.9329991223,2.9144376111,-0.1514978726,-0.5457321963,0.185903298853585,0.966620802758943,1.53697301548509,-0.249222037330978,-0.516453812550553,11.1613232255854,30.9442224418251,5.99920081166451,5.48443865367186,4.3495864913149,62.5285482695129,43.5682470206611,-0.384053238264362,15.3048940197873,2.99914967750519
0.2145218845,0.3866595482,4.8600254559,1.1295175256,0.834329027,0.188450249663525,0.358775625524695,0.899414983808317,1.35977713574844,0.283717748669197,45.8297360045885,16.9034175956812,6.50108376414406,2.77572511286508,3.07575040307501,166.281126482015,158.762418439395,0.769912899871487,4.45197009613377,3.59372708221454
0.6705979052,0.0194562176,2.9629090739,-1.7520248141,-0.0647893376,0.676680049949284,0.0387620346020433,0.264503268817126,-1.64034778780451,-0.408104019365628,27.9894185219574,23.4299965802046,14.882203637657,12.9544068291436,13.6151960292098,61.7449716206497,409.248962705883,0.000414247960973391,7.32371357332901,1.85285660070833
0.3822244881,0.4027548732,2.3952306565,0.6867722259,-1.9293965417,0.397333362650392,0.420318226280772,2.41738264254021,0.586115008296719,-1.54958810988635,12.8171384623292,30.1826482737914,6.26550363238782,7.14990478357401,8.3455761335644,70.9977143982968,121.320189456258,0.389266697199663,16.4864776506976,0.937901046372999
0.3862473449,0.0920106163,1.928503879,0.8097107523,0.8035333377,0.411458560879952,0.0839469794523253,0.329007637837572,0.933789371858036,0.521152993964558,11.6233478266833,46.7960282657183,12.2867635261724,2.87926434132697,26.8327309322629,81.0390818138045,484.886183665242,0.00134332304405925,9.84754294112716,0.799993160549154
0.4265032409,0.4973199994,1.1295136592,0.0897801107,-1.074100604,0.441340629400885,0.521921369532665,0.695190849048704,0.0314226917177783,-0.865174911619829,11.9779389553732,39.9324572833719,9.62466874669297,2.90685536015933,36.8833640035717,53.1059222771615,100.791891118803,1.57542965062177,19.5431077376432,3.07038657343037
0.9141000133,0.0323699977,1.2661395077,1.5485585653,-1.1339384609,0.796250186395408,0.0502104750534759,0.305438266983491,0.941727780364686,-0.43455147001143,12.4699376457852,32.8370618914092,8.54674461330801,16.8058715493559,2.50453670651977,34.8109296774319,501.185904095108,-1.29942370421313e-05,17.7395244794344,2.03817754548064
0.6593168217,0.152472767,3.3360220777,-1.8464915187,1.5055826085,0.609161728690356,0.184900192646148,1.73475528802269,-1.83315878047127,0.940394308338938,34.5780748725971,13.8489671061563,134.314785800085,10.8447356999206,2.52655747432347,91.4949692048086,168.436806122971,0.311396027034057,19.433909643986,10.2264245129134
0.2467017931,0.1333271083,0.2202302544,-0.1005411219,-0.0367687995,0.241595113789796,0.155107926886403,1.85561552236211,-0.074192226268937,-0.00529088487681584,11.4101251682173,12.036379195419,15.1790803384111,2.50194915537375,9.68596886898029,83.734146233608,136.055518379279,0.00202067491968486,8.86920030034485,4.11621992424628
0.3483973298,0.4839911282,2.8564389489,-1.8741514189,0.9796830448,0.328494261546896,0.490902903228551,1.83805951958561,-1.95460737305797,0.320018328822353,14.7219134991978,28.7672340651667,12.1274216403902,274.260222816684,2.73971508129725,108.576516383191,138.311007322677,0.128934927493189,13.356608289108,6.08894617152677
0.4797966583,0.1364459703,1.3073953092,1.5418339778,-1.0880043061,0.418822660176086,0.134593784390928,0.2854476975445,1.02471929314658,-1.17651934836133,34.3083316318402,15.2342904377863,22.4431704474005,9.68713830132738,14.6785790733851,86.8992951165737,173.753800104077,0.0470203844752295,16.5771320527617,0.820464066366503
0.504625373,0.3525438541,1.7781653322,0.7637200171,1.2583486458,0.475892900186821,0.381773541156801,0.934486269680183,0.769638558605405,1.00929129639391,13.5691620222195,21.0366166905304,29.543809022437,18.7089986448137,3.60548652899068,54.1048790860276,123.043635162935,1.43949417044632,34.1441134535,5.50814585294228
0.1533933482,0.6820018979,0.0023537069,-1.9518652222,1.4833686823,0.180769126113951,0.748220294125677,0.154511716844103,-1.82440411718604,1.03862100584594,30.5100227789356,18.7768221153516,8.74440706412518,8.17205047385582,94.5233412394231,271.912792151292,57.5533060556793,0.860676554996488,8.94889984881061,1.90258533994948
0.4159971162,0.3759386773,1.4674967827,0.1061971609,0.4966261586,0.436566649286473,0.391610542650654,1.19864584473338,0.0738824119603664,0.533483503033464,12.0330677847857,11.6160058249902,20.784114126269,2.91768286764834,3.81284233173548,84.4686954305327,53.1663179844333,0.405895620060851,6.55129857300923,2.80996370785024
