"true_a_rew","true_a_pun","true_K","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.2432482824,0.8256940855,2.3253021977,1.6458651718,1.2591585873,0.103609619212236,0.736383413308802,0.44658577863396,1.75374122038497,1.42521795433188,2,1,2,2,1,2,2,3,3,2,2,2,3,4,3,4,3,3,3,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4
0.4414347726,0.0535184915,2.1096847969,1.5970767731,-0.2833432333,0.388104188600677,0.0305451420475608,2.1210252051947,1.39179306269143,0.0915091983914964,2,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,1,1,4,4,4,2,1,1,1,4,4,4,4,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.5298786185,0.3258166478,1.9603302983,-0.7708256372,-1.093874716,0.625668548775093,0.23964914597616,2.94895417970993,-0.942525962768329,-0.777187753421453,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,4,2,1,3,2,2,2,4,4,4,4,4,1,1,1,1,3,4,4,1,1,3,3,3,3,3,1,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,1,4,4,4,3,3,4,3,1,4,4,4,2,3,2,1,3,3,3,3,3,3,1,4,4,1,1,1,1,1,1,4,4,4,4,4
0.3024890692,0.9355824877,1.8857218092,0.7808334443,0.8715054514,0.436740505927072,0.673322545434965,2.66403533743135,0.568930854159426,1.34696606441385,2,4,1,1,4,1,4,4,4,3,3,4,4,4,4,3,4,4,2,2,4,2,2,2,2,4,2,4,2,2,2,2,2,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3
0.2450666668,0.4914388679,2.4528805797,0.8387980702,-0.4921247823,0.450998102844803,0.550790798523695,2.13516938537862,0.690660450079187,-0.00459575827027425,2,4,4,4,4,2,4,4,4,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,1,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4
0.9003541966,0.4206886642,2.0189967057,0.6225725229,1.8754953443,0.673207588730371,0.277618957659636,0.50136058514106,1.5779959587568,1.31914400764842,2,3,3,3,4,4,4,4,4,3,4,4,4,4,3,3,3,1,3,1,1,1,3,3,1,3,3,3,1,1,3,3,2,3,3,2,2,2,2,2,2,2,3,3,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,1,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.6419024838,0.6890577505,3.5431660863,-1.4047397867,1.7435675929,0.443954872422643,0.677850694161971,2.32400147170993,-2.18353462820078,0.655275510472852,2,1,2,3,3,1,1,1,2,4,3,3,2,3,2,2,2,1,2,1,1,1,4,3,4,1,4,4,1,4,4,3,3,3,4,4,3,3,3,4,3,4,3,3,4,4,3,4,3,4,3,4,3,3,4,3,4,4,3,4,3,4,1,3,4,4,3,1,4,3,4,1,4,1,1,4,3,3,3,1,1,1,1,3,3,1,1,3,4,4,3,1,1,1,3,1,3,3,1,1
0.5935872719,0.8993405612,4.1912665071,-1.511223978,-1.5705773224,0.500676583196497,0.903895853756869,2.69349057047727,-2.43508525449176,-1.85712464018662,2,2,1,2,1,4,4,1,2,2,2,2,4,3,3,2,2,2,2,2,3,2,2,2,2,4,2,4,2,4,2,2,4,4,2,2,2,3,3,4,3,3,4,3,4,4,4,3,4,3,4,4,3,4,3,4,4,3,3,4,4,3,3,4,4,1,1,1,3,1,1,1,3,1,1,4,3,1,1,1,3,1,1,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3
0.3465914966,0.6189940032,0.5894318899,-1.1613045694,1.2436196898,0.476990083490746,0.544639621389357,2.57586289110745,-0.973029364332006,1.48224561535019,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,4,4,4,1,4,1,1,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,1,1,4,4,4,3,3,3,4,4,4,4,3,1,3,1,3,3,1,3,3,3,3,3,4,4,3,4,3,3,4,4,4,3
0.2481446847,0.1884821068,2.0284516545,1.095110529,1.4830358164,0.242492876048,0.112209417921871,0.867604846293045,0.851130285482232,1.60422650114471,2,2,4,4,4,2,4,2,2,3,2,2,3,3,3,3,4,4,3,3,4,1,2,2,1,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,4,4,4,4,1,4,4,4,4,3,4,1,1,4,2,1,3,4,4,2,4,2,4,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4
0.9828145837,0.4677228936,2.890145498,-1.531106215,0.9536590394,0.895678421996921,0.382562823809397,3.03225547410526,-1.59043875649648,0.965364414340665,2,1,1,2,2,1,4,2,1,1,1,1,1,3,3,2,2,1,2,4,4,2,3,4,2,1,2,2,2,1,2,3,2,2,3,3,3,4,3,3,4,3,3,1,3,1,1,4,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,3,4,4,3,3,1,3,3,1,1,1,1,1,1,1,1,3,1,4,4,4,1,1,1,1,3,1,1,1,1
0.5439121385,0.9791651122,3.5770161079,1.6335160736,-0.9657309019,0.203681185121809,0.971505375848329,2.72338802973722,2.28976090628052,-0.775148834562321,2,4,2,2,1,2,2,2,2,4,4,4,3,2,4,4,2,2,4,1,4,4,4,4,4,4,1,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,1,4,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,4,1,3,4,4,4,4,4,4,3,3,3,3,3,3
0.1621876189,0.0414788964,4.3026020636,-0.0331512884,-1.7874742824,0.0954941746770136,0.0076291948510237,2.40582135252733,0.786810193336676,-0.111778671521932,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,4,4,4,2,2,2,2,2,3,2,2,2,2,3,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
